Category,Detail,Additional Info
Schools,School of Medicine,https://medicine.maseno.ac.ke/
Schools,School of Pharmacy,https://sop.maseno.ac.ke/
Schools,School of Mathematics,https://smsas.maseno.ac.ke/
Schools,School of Development and Strategic Studies,https://sdss.maseno.ac.ke/
Schools,School of Nursing,https://son.maseno.ac.ke/
Schools,School of Computing and Informatics,https://sci.maseno.ac.ke/
Schools,School of Public Health,http://publichealth.maseno.ac.ke/
Schools,School of Business,https://sbe.maseno.ac.ke/
Schools,School of Arts and Social Sciences,https://sass.maseno.ac.ke/
Schools,School of Agriculture and Food Security,https://safs.maseno.ac.ke/
Schools,School of Physical and Biological Sciences,https://sbps.maseno.ac.ke/
Program Types,Doctorate Programmes,Doctorate Programmes
Program Types,Diploma Programmes,Diploma Programmes
Program Types,Masters Programmes,Masters Programmes
Program Types,Certificate Programmes,Certificate Programmes
Program Types,Bachelor Programmes,Bachelor Programmes
eCampus,Login/Register,Details for students to log in or register for eLearning courses
eCampus,Module Registration,Information on how students can register for different modules
eCampus,Programmes,List of available eLearning programmes
eCampus,Fees,Detailed fee structure for eLearning programmes
eCampus,Apply Now,Steps and links to apply for eLearning courses
eCampus,eLearning Portal,Link to the eLearning portal for course access
eCampus,Student Portal,Link to the student portal for managing student accounts and activities
eCampus,Student Noticeboard,Updates and announcements for eLearning students
eCampus,Term Dates,Important dates for the eLearning academic calendar
eCampus,Fee Payment,Instructions and details for paying fees for eLearning courses
eCampus,Prospective Graduands Notice,Information for students about graduation procedures and requirements
eCampus,Programme Information Booklet,A booklet with detailed information about the eLearning programmes offered
eCampus,Why Choose Us?,Benefits and unique features of the eLearning platform
eCampus,"Learn at home, at work or on the move","We guarantee reliable access to flexible modular courses, eLibrary, and administrative support, anytime, anywhere at your convenience."
eCampus,E-Learning,Examinations for eLearning students are conducted under similar conditions to that of the face-to-face students.
eCampus,High quality,"We offer high-quality online modules based on experience, knowledge, and skills drawn from collaboration with international partners."
eCampus,Affordable,Our eCampus programmes allow learners to only pay for the number of modules they wish to take. You make a substantial saving on cost compared to face-to-face learners.
